stationCode,stationName,stationEName,name,ename,stationAddrTw,stationAddrEn,stationTel,gps,haveBike
4460,九曲堂,Jiuqutang,九曲堂,Jiuqutang,高雄市大樹區久堂里久堂路鐵路巷 15 號,"No. 15, Railway Ln., Jiutang Rd., Dashu Dist., Kaohsiung City",07-6512020,22.65658 120.42072,Y
4470,六塊厝,Liukuaicuo,六塊厝,Liukuaicuo,屏東縣屏東市長安里光復路 392 號,"No. 392, Guangfu Rd., Pingdong City, Pingtung County",08-7515140,22.66619 120.46491,N
5000,屏東,Pingtung,屏東,Pingtung,屏東縣屏東市擇仁里公勇路 62 號,"No. 62, Gongyong Rd., Pingdong City, Pingtung County",08-7515140,22.66961 120.48627,Y
5010,歸來,Guilai,歸來,Guilai,屏東縣屏東市歸來里歸仁路 5 之 4 號,"No. 5-4, Guiren Rd., Pingdong City, Pingtung County",08-7515140,22.65214 120.50294,N
5020,麟洛,Linluo,麟洛,Linluo,屏東縣麟洛鄉田道村中華路站前巷 15 號,"No. 15, Zhanqian Ln., Zhonghua Rd., Linluo Township, Pingtung County",08-7515140,22.63478 120.51446,N
5030,西勢,Xishi,西勢,Xishi,屏東縣竹田鄉西勢村西豐路 2 號,"No. 2, Xifeng Rd., Zhutian Township, Pingtung County",08-7784521,22.61661 120.52677,Y
5040,竹田,Zhutian,竹田,Zhutian,屏東縣竹田鄉履豐村豐明路29 號,"No. 27-1, Fengming Rd., Zhutian Township, Pingtung County",08-7711002,22.58648 120.54009,N
5050,潮州,Chaozhou,潮州,Chaozhou,屏東縣潮州鎮新榮里信義路 111 號,"No. 111, Xinyi Rd., Chaozhou Township, Pingtung County",08-7882739,22.55007 120.53662,Y
5060,崁頂,Kanding,崁頂,Kanding,屏東縣崁頂鄉崁頂村中正路 122 號,"No. 122, Zhongzheng Rd., Kanding Township, Pingtung County",08-7882739,22.51311 120.51481,N
5070,南州,Nanzhou,南州,Nanzhou,屏東縣南州鄉仁里村仁里路 86 號,"No. 86, Renli Rd., Nanzhou Township, Pingtung County",08-8642942,22.45793 120.51122,Y
5080,鎮安,Zhen'an,鎮安,Zhen'an,屏東縣林邊鄉鎮安村永和路 4 號,"No. 4, Yonghe Rd., Linbian Township, Pingtung County",08-8642942,22.45794 120.51151,N
5090,林邊,Linbian,林邊,Linbian,屏東縣林邊鄉仁和村仁愛路 33 號,"No. 33, Ren’ai Rd., Linbian Township, Pingtung County",08-8751475,22.43141 120.51538,Y
5100,佳冬,Jiadong,佳冬,Jiadong,屏東縣佳冬鄉六根村復興路21號,"No. 21, Fuxing Rd., Jiadong Township, Pingtung County",08-8662939,22.41416 120.54782,N
5110,東海,Donghai,東海,Donghai,屏東縣枋寮鄉東海村西安路 92 號,"No. 92, Xi’an Rd., Fangliao Township, Pingtung County",08-8782041,22.39903 120.57252,N
5120,枋寮,Fangliao,枋寮,Fangliao,屏東縣枋寮鄉枋寮村儲運路 18 號,"No. 18, Chuyun Rd., Fangliao Township, Pingtung County",08-8782041,22.36786 120.59501,Y
5130,加祿,Jialu,加祿,Jialu,屏東縣枋山鄉加祿村會社 53 號,"No. 53, Huishe, Fangshan Township, Pingtung County",08-8720791,22.33085 120.62445,Y
5140,內獅,Neishi,內獅,Neishi,屏東縣枋山鄉加祿村南和 43 號,"No. 43, Nanhe, Fangshan Township, Pingtung County",08-8720791,22.30615 120.64322,N
5160,枋山,Fangshan,枋山,Fangshan,屏東縣獅子鄉內獅村內獅巷 84 號,"No. 84, Neishi Ln., Shizi Township, Pingtung County",08-8720791,22.26677 120.65968,N
5170,枋野,Fangye,枋野,Fangye,屏東縣獅子鄉內獅村內獅巷 88 號,"No. 88, Neishi Ln., Shizi Township, Pingtung County",08-8761953,22.28091 120.71709,N
5190,大武,Dawu,大武,Dawu,臺東縣大武鄉大鳥村和平部落 33 號,"No. 33, Ku Shu Shu, Dawu Township, Taitung County",089-792056,22.36537 120.90091,Y
5200,瀧溪,Longxi,瀧溪,Longxi,臺東縣太麻里鄉多良村大溪 37 號,"No. 37, Daxi, Taimali Township, Taitung County",089-761482,22.46102 120.94176,Y
5210,金崙,Jinlun,金崙,Jinlun,臺東縣太麻里鄉金崙村金崙 47 之 17 號,"No. 47-17, Jinlun, Taimali Township, Taitung County",089-771068,22.53161 120.96721,Y
5220,太麻里,Taimali,太麻里,Taimali,臺東縣太麻里鄉大王村站前路 2 號,"No. 2, Zhanqian Rd., Taimali Township, Taitung County",089-781544,22.61879 121.00505,Y
5230,知本,Zhiben,知本,Zhiben,臺東縣臺東市知本里知本路二段 900 巷 85 號,"No. 85, Ln. 900, Sec. 2, Zhiben Rd., Taidong City, Taitung County",089-514482,22.71023 121.06059,Y
5240,康樂,Kangle,康樂,Kangle,臺東縣臺東市康樂里博物館路 51 巷 131 號,"No. 131, Ln. 51, Museum Rd., Taidong City, Taitung County",089-383107,22.76406 121.09338,N
5998,南方小站,South,南方小站,South,屏東縣潮州鎮光復路 461 號,", Chaozhou Township, Pingtung County",,22.52755 120.53658,N
5999,潮州基地,Chaozhou Railway Workshop,潮州基地,Chaozhou Railway Workshop,屏東縣潮州鎮光春里光復路 616 號,"No. 616, Guangfu Rd., Chaozhou Township, Pingtung County",08-7889880,22.52231 120.52642,N
6000,臺東,Taitung,臺東,Taitung,臺東縣臺東市岩灣里岩灣路 101 巷 598 號,"No. 598, Ln. 101, Yanwan Rd., Taidong City, Taitung County",089-229687,22.79375 121.12326,Y
6010,山里,Shanli,山里,Shanli,臺東縣卑南鄉嘉豐村山里路 108 號,"No. 108, Shanli Rd., Beinan Township, Taitung County",089-572370,22.86194 121.13778,N
6020,鹿野,Luye,鹿野,Luye,臺東縣鹿野鄉鹿野村中正路 38 號,"No. 38, Zhongzheng Rd., Luye Township, Taitung County",089-550217,22.91251 121.13696,Y
6030,瑞源,Ruiyuan,瑞源,Ruiyuan,臺東縣鹿野鄉瑞源村瑞景路一段 336 巷 8 號 之 1,"No. 8-1, Ln. 336, Sec. 1, Ruijing Rd., Luye Township, Taitung County",089-580159,22.95613 121.15902,Y
6040,瑞和,Ruihe,瑞和,Ruihe,臺東縣鹿野鄉瑞和村瑞景路三段 1 之 1 號,"No. 1-1, Sec. 3, Ruijing Rd., Luye Township, Taitung County",089-580159,22.98001 121.15573,N
6050,關山,Guanshan,關山,Guanshan,臺東縣關山鎮里壠里博愛路 2 號,"No. 2, Bo’ai Rd., Guanshan Township, Taitung County",089-811033,23.04564 121.16441,Y
6060,海端,Haiduan,海端,Haiduan,臺東縣關山鎮德高里西莊 49 號,"No. 49, Xizhuang, Guanshan Township, Taitung County",089-811033,23.10292 121.17676,N
6070,池上,Chishang,池上,Chishang,臺東縣池上鄉福文村鐵花路 30 號,"No. 30, Tiehua Rd., Chishang Township, Taitung County",089-862097,23.12605 121.21956,Y
6080,富里,Fuli,富里,Fuli,花蓮縣富里鄉富里村車站街 56 號,"No. 56, Chezhan St., Fuli Township, Hualien County",03-8831771,23.17935 121.24864,Y
6090,東竹,Dongzhu,東竹,Dongzhu,花蓮縣富里鄉新興村新興 26 號,"No. 26, Xinxing, Fuli Township, Hualien County",03-8821504,23.22612 121.27844,Y
6100,東里,Dongli,東里,Dongli,花蓮縣富里鄉東里村大莊路 15 之 6 號,"No. 15-6, Dazhuang Rd., Fuli Township, Hualien County",03-8861005,23.27233 121.30425,Y
6110,玉里,Yuli,玉里,Yuli,花蓮縣玉里鎮中城里康樂街 39 號,"No. 39, Kangle St., Yuli Township, Hualien County",03-8882020,23.33161 121.31181,Y
6120,三民,Sanmin,三民,Sanmin,花蓮縣玉里鎮三民里三民 10 號,"No. 10, Sanmin, Yuli Township, Hualien County",03-8841847,23.42463 121.34561,N
6130,瑞穗,Ruisui,瑞穗,Ruisui,花蓮縣瑞穗鄉瑞穗村四維街 13 號,"No. 13, Siwei St., Ruisui Township, Hualien County",03-8875039,23.49739 121.37689,Y
6140,富源,Fuyuan,富源,Fuyuan,花蓮縣瑞穗鄉富源村富源路 2 號,"No. 2, Fuyuan Rd., Ruisui Township, Hualien County",03-8811824,23.58028 121.38003,Y
6150,大富,Dafu,大富,Dafu,花蓮縣光復鄉大富村明德路 1 號,"No. 1, Mingde Rd., Guangfu Township, Hualien County",03-8811824,23.60572 121.38969,N
6160,光復,Guangfu,光復,Guangfu,花蓮縣光復鄉大安村中正路一段 2 之 1 號,"No. 2-1, Sec. 1, Zhongzheng Rd., Guangfu Township, Hualien County",03-8704143,23.66633 121.42125,Y
6170,萬榮,Wanrong,萬榮,Wanrong,花蓮縣鳳林鎮長橋里長德街 17 號,"No. 17, Changde St., Fenglin Township, Hualien County",03-8752175,23.71199 121.41907,Y
6180,鳳林,Fenglin,鳳林,Fenglin,花蓮縣鳳林鎮鳳智里中山路 43 號,"No. 43, Zhongshan Rd., Fenglin Township, Hualien County",03-8762004,23.74625 121.44708,Y
6190,南平,Nanping,南平,Nanping,花蓮縣鳳林鎮南平里自強路 233 號,"No. 233, Ziqiang Rd., Fenglin Township, Hualien County",03-8771597,23.78228 121.45833,Y
6200,林榮新光,Linrong Shin Kong,林榮新光,Linrong Shin Kong,花蓮縣鳳林鎮兆豐路800號,"No. 800, Chaofeng Rd., Fenglin Township, Hualien County",03-8772677,23.80225 121.46205,Y
6210,豐田,Fengtian,豐田,Fengtian,花蓮縣壽豐鄉豐山村站前街 36 號,"No. 36, Zhanqian St., Shoufeng Township, Hualien County",03-8654251,23.84836 121.49619,N
6220,壽豐,Shoufeng,壽豐,Shoufeng,花蓮縣壽豐鄉壽豐村壽山路 1 號,"No. 1, Shoushan Rd., Shoufeng Township, Hualien County",03-8653706,23.86901 121.51064,Y
6230,平和,Pinghe,平和,Pinghe,花蓮縣壽豐鄉平和村平和路 1 號,"No. 1, Pinghe Rd., Shoufeng Township, Hualien County",03-8653706,23.88275 121.52036,N
6240,志學,Zhixue,志學,Zhixue,花蓮縣壽豐鄉志學村中正路 1 號,"No. 1, Zhongzheng Rd., Shoufeng Township, Hualien County",03-8662966,23.90751 121.52947,Y
6250,吉安,Ji'an,吉安,Ji'an,花蓮縣吉安鄉南昌村南昌路1號,"No. 200, Nanchang Rd., Ji`an Township, Hualien County",03-8539423,23.96825 121.58261,Y
7000,花蓮,Hualien,花蓮,Hualien,花蓮縣花蓮市國聯里國聯一路 100 號,"No. 100, Guolian 1st Rd., Hualian City, Hualien County",03-8355941,23.99264 121.60158,Y
7010,北埔,Beipu,北埔,Beipu,花蓮縣新城鄉北埔村自強街 113 號,"No. 113, Ziqiang St., Xincheng Township, Hualien County",03-8263809,24.03251 121.60189,N
7020,景美,Jingmei,景美,Jingmei,花蓮縣秀林鄉景美村加灣 178 之 1 號,"No. 178-1, Jiawan, Xiulin Township, Hualien County",03-8611237,24.09039 121.61103,N
7030,新城,Xincheng,新城,Xincheng,花蓮縣新城鄉新城村新興一路 73 號,"No. 73, Xinxing 1st Rd., Xincheng Township, Hualien County",03-8611237,24.12761 121.64103,Y
7040,崇德,Chongde,崇德,Chongde,花蓮縣秀林鄉崇德村海濱路 96 號,"No. 96, Haibin Rd., Xiulin Township, Hualien County",03-8621365,24.17199 121.65536,Y
7050,和仁,Heren,和仁,Heren,花蓮縣秀林鄉和平村和仁 71 號,"No. 71, Heren, Xiulin Township, Hualien County",03-8681221,24.24219 121.71192,N
7060,和平,Heping,和平,Heping,花蓮縣秀林鄉和平村和平 276 號,"No. 276, Heping, Xiulin Township, Hualien County",03-8681009,24.29825 121.75322,Y
7070,漢本,Hanben,漢本,Hanben,宜蘭縣南澳鄉澳花村蘇花路一段 56 號,"No. 56, Sec. 1, Suhua Rd., Nan`ao Township, Yilan County",03-9985238,24.33542 121.76829,N
7080,武塔,Wuta,武塔,Wuta,宜蘭縣南澳鄉武塔村新溪路 18 號,"No. 18, Xinxi Rd., Nan`ao Township, Yilan County",03-9981971,24.44879 121.77601,N
7090,南澳,Nan'ao,南澳,Nan'ao,宜蘭縣蘇澳鎮南強里大通路 22 號,"No. 22, Datong Rd., Su`ao Township, Yilan County",03-9981971,24.46342 121.80103,Y
7100,東澳,Dong'ao,東澳,Dong'ao,宜蘭縣南澳鄉東岳村東岳路 1 號,"No. 1, Dongyue Rd., Nan`ao Township, Yilan County",03-9986053,24.51828 121.83071,Y
7110,永樂,Yongle,永樂,Yongle,宜蘭縣蘇澳鎮永樂里圳頭路 60 號,"No. 60, Zuntou Rd., Su`ao Township, Yilan County",03-9961889,24.56843 121.84458,N
7120,蘇澳,Su'ao,蘇澳,Su'ao,宜蘭縣蘇澳鎮蘇南里太平路 1 號,"No. 1, Taiping Rd., Su`ao Township, Yilan County",03-9962028,24.59514 121.85144,Y
7130,蘇澳新,Su'aoxin,蘇澳新,Su'aoxin,宜蘭縣蘇澳鎮聖愛里中山路二段 238 號,"No. 238-1, Sec. 2, Zhongshan Rd., Su`ao Township, Yilan County",03-9961004,24.60852 121.82719,Y
7140,新馬,Xinma,新馬,Xinma,宜蘭縣蘇澳鎮新城里中山路二段 322 號,"No. 322, Sec. 2, Zhongshan Rd., Su`ao Township, Yilan County",03-9961004,24.61535 121.82292,N
7150,冬山,Dongshan,冬山,Dongshan,宜蘭縣冬山鄉冬山村中正路 1 號,"No. 1, Zhongzheng Rd., Dongshan Township, Yilan County",03-9594221,24.63642 121.79221,Y
7160,羅東,Luodong,羅東,Luodong,宜蘭縣羅東鎮大新里公正路 2 號,"No. 2, Gongzheng Rd., Luodong Township, Yilan County",03-9542117,24.67795 121.77424,Y
7170,中里,Zhongli_Yilan,中里,Zhongli_Yilan,宜蘭縣五結鄉中興村台興路 10 號,"No. 10, Taixing Rd., Wujie Township, Yilan County",03-9542117,24.69415 121.77526,N
7180,二結,Erjie,二結,Erjie,宜蘭縣五結鄉五結中路三段658巷8號,"No. 8,Lane 658,WuJie Central Rd. Sec.3, Wujie Township, Yilan County",03-9650304,24.70529 121.77411,N
7190,宜蘭,Yilan,宜蘭,Yilan,宜蘭縣宜蘭市和睦里光復路 1 號,"No. 1, Guangfu Rd., Yilan City, Yilan County",03-9323801,24.75462 121.75791,Y
7200,四城,Sicheng,四城,Sicheng,宜蘭縣礁溪鄉吳沙村站前路 24 號,"No. 24, Zhanqian Rd., Jiaoxi Township, Yilan County",03-9282449,24.78684 121.76268,N
7210,礁溪,Jiaoxi,礁溪,Jiaoxi,宜蘭縣礁溪鄉德陽村溫泉路 1 號,"No. 1, Wenquan Rd., Jiaoxi Township, Yilan County",03-9886940,24.82705 121.77523,Y
7220,頂埔,Dingpu,頂埔,Dingpu,宜蘭縣頭城鎮下埔里下埔路 4 之 8 號,"No. 4-8, Xiapu Rd., Toucheng Township, Yilan County",03-9771429,24.84383 121.80918,N
7230,頭城,Toucheng,頭城,Toucheng,宜蘭縣頭城鎮纘祥路 59 號,"No. 59, Zuanxiang Rd., Toucheng Township, Yilan County",03-9771429,24.85898 121.82253,Y
7240,外澳,Wai'ao,外澳,Wai'ao,宜蘭縣頭城鎮濱海路二段 217 號,"No. 217, Sec. 2, Binhai Rd., Toucheng Township, Yilan County",03-9771429,24.88371 121.84576,N
7250,龜山,Guishan,龜山,Guishan,宜蘭縣頭城鎮更新里濱海路三段 261 號,"No. 261, Sec. 3, Binhai Rd., Toucheng Township, Yilan County",03-9770351,24.90508 121.86893,N
7260,大溪,Daxi,大溪,Daxi,宜蘭縣頭城鎮濱海路五段 63 號,"No. 63, Sec. 5, Binhai Rd., Toucheng Township, Yilan County",03-9771429,24.93836 121.88983,N
7270,大里,Dali,大里,Dali,宜蘭縣頭城鎮大里里濱海路六段 326 號,"No. 326, Sec. 6, Binhai Rd., Toucheng Township, Yilan County",03-9781171,24.96688 121.92257,N
7280,石城,Shicheng,石城,Shicheng,宜蘭縣頭城鎮濱海路七段 230 號,"No. 230, Sec. 7, Binhai Rd., Toucheng Township, Yilan County",03-9771429,24.97832 121.94507,N
7290,福隆,Fulong,福隆,Fulong,新北市貢寮區福隆里福隆街 2 號,"No. 2, Fulong St., Gongliao Dist., New Taipei City",02-24991800,25.01598 121.94471,Y
7300,貢寮,Gongliao,貢寮,Gongliao,新北市貢寮區貢寮里朝陽街 33 號,"No. 33, Chaoyang St., Gongliao Dist., New Taipei City",02-24941500,25.02204 121.90872,Y
7310,雙溪,Shuangxi,雙溪,Shuangxi,新北市雙溪區新基里朝陽街 1 號,"No. 1, Chaoyang St., Shuangxi Dist., New Taipei City",02-24932980,25.03861 121.86415,Y
7320,牡丹,Mudan,牡丹,Mudan,新北市雙溪區牡丹里51號,"No. 159, Mudan Rd., Shuangxi Dist., New Taipei City",02-24932980,25.05877 121.84974,N
7330,三貂嶺,Sandiaoling,三貂嶺,Sandiaoling,新北市瑞芳區碩仁里魚寮路 1 號,"No. 1, Yuliao Rd., Ruifang Dist., New Taipei City",02-24977896,25.06555 121.82259,N
7331,大華,Dahua,大華,Dahua,新北市平溪區南山里六分 12 之 1 號,"No. 12-1, Liufen, Pingxi Dist., New Taipei City",02-24972033,25.04993 121.79751,N
7332,十分,Shifen,十分,Shifen,新北市平溪區十分里十分街 51 號,"No. 51, Shifen St., Pingxi Dist., New Taipei City",02-24958307,25.04111 121.77514,N
7333,望古,Wanggu,望古,Wanggu,新北市平溪區望古里 (無站房),"Wanggu Vil. (No Station Building), Pingxi Dist., New Taipei City",02-24972033,25.03445 121.76349,N
7334,嶺腳,Lingjiao,嶺腳,Lingjiao,新北市平溪區嶺腳里嶺腳寮 22 號,"No. 22, Lingjiaoliao, Pingxi Dist., New Taipei City",02-24972033,25.03021 121.74784,N
7335,平溪,Pingxi,平溪,Pingxi,新北市平溪區平溪里中華街 12 號,"No. 12, Zhonghua St., Pingxi Dist., New Taipei City",02-24972033,25.02552 121.73994,N
7336,菁桐,Jingtong,菁桐,Jingtong,新北市平溪區菁桐里菁桐街 52 號,"No. 52, Jingtong St., Pingxi Dist., New Taipei City",02-24972033,25.02384 121.72394,N
7350,猴硐,Houtong,猴硐,Houtong,新北市瑞芳區光復里柴寮路 70 號,"No. 70, Chailiao Rd., Ruifang Dist., New Taipei City",02-24977747,25.08711 121.82741,Y
7360,瑞芳,Ruifang,瑞芳,Ruifang,新北市瑞芳區龍潭里明燈路三段 82 號,"No. 82, Sec. 3, Mingdeng Rd., Ruifang Dist., New Taipei City",02-24972033,25.10861 121.80596,Y
7361,海科館,Haikeguan,海科館,Haikeguan,基隆市中正區長潭里,"Changtan Vil., Zhongzheng Dist., Keelung City",02-24972033,25.13744 121.79987,N
7362,八斗子,Badouzi,八斗子,Badouzi,新北市瑞芳區建基路2段121號隔壁 砂子里省道臺 2 線 (與新北市瑞芳區交界處、無站房),"Provincial Highway 2 (Junction of Ruifang Dist., New Taipei City, No Station Building), Ruifang Dist., New Taipei City",02-24972033,25.13481 121.80411,N
7380,四腳亭,Sijiaoting,四腳亭,Sijiaoting,新北市瑞芳區吉慶里中央路 65 號,"No. 65, Zhongyang Rd., Ruifang Dist., New Taipei City",02-24579346,25.10281 121.76192,N
7390,暖暖,Nuannuan,暖暖,Nuannuan,基隆市暖暖區暖暖里暖暖街 51 號,"No. 66, Nuannuan St., Nuannuan Dist., Keelung City",02-24972033,25.10224 121.74048,N
